वार्ड संख्या,मतदाता,11-09 पोल,कुल गिने मत,NOTA,प्रत्याशी का नाम,लिंग,दल,चुनाव प्रतीक,भाग 1 मत,भाग 2 मत,डाक मत,कुल मत,स्थिति,जीत का अंतर
"1","1811","1355","1355","10","भारती","महिला","आम आदमी पार्टी","झाड़ू","26","19","0","45","-","224"
"1","1811","1355","1355","10","मंजु देवी","महिला","इण्डियन नेशनल कांग्रेस","हाथ","334","325","0","659","विजेता (Declared)","224"
"1","1811","1355","1355","10","मधु बहन","महिला","भारतीय जनता पार्टी","कमल","129","306","0","435","-",""
"1","1811","1355","1355","10","कंचन","महिला","निर्दलीय","अलमारी","167","39","0","206","-",""
"2","612","437","437","5","कविता कंवर","महिला","भारतीय जनता पार्टी","कमल","148","0","0","148","-","28"
"2","612","437","437","5","कुसुम जोरावर सिंह","महिला","इण्डियन नेशनल कांग्रेस","हाथ","176","0","0","176","विजेता (Declared)","28"
"2","612","437","437","5","संगीता कंवर","महिला","निर्दलीय","सिलाई की मशीन","82","0","0","82","-",""
"2","612","437","437","5","सुशीला देवी","महिला","निर्दलीय","अलमारी","26","0","0","26","-",""
"3","829","555","555","6","ममता","महिला","भारतीय जनता पार्टी","कमल","300","0","0","300","विजेता (Declared)","84"
"3","829","555","555","6","रिंकु कंवर","महिला","इण्डियन नेशनल कांग्रेस","हाथ","216","0","0","216","-",""
"3","829","555","555","6","गुडिया","महिला","निर्दलीय","अलमारी","33","0","0","33","-",""
"4","430","289","289","3","कमलेश कुमार","पुरुष","इण्डियन नेशनल कांग्रेस","हाथ","121","0","0","121","विजेता (Declared)","42"
"4","430","289","289","3","कान्तिलाल","पुरुष","आम आदमी पार्टी","झाड़ू","3","0","0","3","-",""
"4","430","289","289","3","माणकलाल","पुरुष","भारतीय जनता पार्टी","कमल","79","0","0","79","-",""
"4","430","289","289","3","गोविन्द राठौड़","पुरुष","निर्दलीय","सेब","7","0","0","7","-",""
"4","430","289","289","3","जीतु कुमारी","महिला","निर्दलीय","स्कूल का बस्ता","49","0","0","49","-",""
"4","430","289","289","3","पुखराज","पुरुष","निर्दलीय","अलमारी","27","0","0","27","-",""
"5","902","590","590","6","गौरी चाँवरीया","महिला","इण्डियन नेशनल कांग्रेस","हाथ","195","0","0","195","-","142"
"5","902","590","590","6","पुष्पा बरूत","महिला","भारतीय जनता पार्टी","कमल","337","0","0","337","विजेता (Declared)","142"
"5","902","590","590","6","लक्ष्मी देवी","महिला","आम आदमी पार्टी","झाड़ू","37","0","0","37","-",""
"5","902","590","590","6","सुमन कुमारी","महिला","निर्दलीय","सेब","15","0","0","15","-",""
"6","1120","786","786","8","भूराराम","पुरुष","भारतीय जनता पार्टी","कमल","183","0","0","183","-","95"
"6","1120","786","786","8","राजेश कुमार","पुरुष","आम आदमी पार्टी","झाड़ू","10","0","0","10","-",""
"6","1120","786","786","8","शैतान कुमार","पुरुष","इण्डियन नेशनल कांग्रेस","हाथ","340","0","0","340","विजेता (Declared)","95"
"6","1120","786","786","8","प्रकाश चंद","पुरुष","निर्दलीय","सेब","245","0","0","245","-",""
"7","976","791","791","7","गणपत सिंह","पुरुष","भारतीय जनता पार्टी","कमल","323","0","0","323","विजेता (Declared)","82"
"7","976","791","791","7","परबत सिंह","पुरुष","इण्डियन नेशनल कांग्रेस","हाथ","241","0","0","241","-",""
"7","976","791","791","7","मंछाराम कच्छवाहा","पुरुष","निर्दलीय","अलमारी","220","0","0","220","-",""
"8","1071","845","845","8","रमेश कुमार राखेचा","पुरुष","भारतीय जनता पार्टी","कमल","477","0","0","477","विजेता (Declared)","159"
"8","1071","845","845","8","वर्मन कुमार सामरिया","पुरुष","इण्डियन नेशनल कांग्रेस","हाथ","42","0","0","42","-",""
