वार्ड सं,कुल मतदाता,मतदान दिवस मत (Polled),स्थिति,गिने गए मत (Counted),NOTA मत,विजयी प्रत्याशी,विजयी दल,जीत का अंतर,टेबल सं,प्रत्याशीवार मत
"1","1811","1355","Yet to Start","","","प्रतीक्षारत","-","","1","भारती (आम आदमी पार्टी): 0 | मंजु देवी (इण्डियन नेशनल कांग्रेस): 0 | मधु बहन (भारतीय जनता पार्टी): 0 | कंचन (निर्दलीय): 0"
"2","612","437","Yet to Start","","","प्रतीक्षारत","-","","1","कविता कंवर (भारतीय जनता पार्टी): 0 | कुसुम जोरावर सिंह (इण्डियन नेशनल कांग्रेस): 0 | संगीता कंवर (निर्दलीय): 0 | सुशीला देवी (निर्दलीय): 0"
"3","829","555","Yet to Start","","","प्रतीक्षारत","-","","1","ममता (भारतीय जनता पार्टी): 0 | रिंकु कंवर (इण्डियन नेशनल कांग्रेस): 0 | गुडिया (निर्दलीय): 0"
"4","430","289","Yet to Start","","","प्रतीक्षारत","-","","1","कमलेश कुमार (इण्डियन नेशनल कांग्रेस): 0 | कान्तिलाल (आम आदमी पार्टी): 0 | माणकलाल (भारतीय जनता पार्टी): 0 | गोविन्द राठौड़ (निर्दलीय): 0 | जीतु कुमारी (निर्दलीय): 0 | पुखराज (निर्दलीय): 0"
"5","902","590","Yet to Start","","","प्रतीक्षारत","-","","1","गौरी चाँवरीया (इण्डियन नेशनल कांग्रेस): 0 | पुष्पा बरूत (भारतीय जनता पार्टी): 0 | लक्ष्मी देवी (आम आदमी पार्टी): 0 | सुमन कुमारी (निर्दलीय): 0"
"6","1120","786","Yet to Start","","","प्रतीक्षारत","-","","1","भूराराम (भारतीय जनता पार्टी): 0 | राजेश कुमार (आम आदमी पार्टी): 0 | शैतान कुमार (इण्डियन नेशनल कांग्रेस): 0 | प्रकाश चंद (निर्दलीय): 0"
"7","976","791","Yet to Start","","","प्रतीक्षारत","-","","1","गणपत सिंह (भारतीय जनता पार्टी): 0 | परबत सिंह (इण्डियन नेशनल कांग्रेस): 0 | मंछाराम कच्छवाहा (निर्दलीय): 0"
"8","1071","845","Yet to Start","","","प्रतीक्षारत","-","","1","रमेश कुमार राखेचा (भारतीय जनता पार्टी): 0 | वर्मन कुमार सामरिया (इण्डियन नेशनल कांग्रेस): 0 | लादुराम (निर्दलीय): 0"
"9","736","588","Yet to Start","","","प्रतीक्षारत","-","","1","गणेशराम (आम आदमी पार्टी): 0 | राजेन्द्र कुमार (भारतीय जनता पार्टी): 0 | हितेश कुमार (इण्डियन नेशनल कांग्रेस): 0 | मंगलदेव प्रसाद (निर्दलीय): 0 | लखन मीणा (निर्दलीय): 0"
"10","784","581","Yet to Start","","","प्रतीक्षारत","-","","1","पूजा देवी (भारतीय जनता पार्टी): 0 | भागवंती (इण्डियन नेशनल कांग्रेस): 0 | अंशी (निर्दलीय): 0 | जयंती कुमारी (निर्दलीय): 0"
"11","871","690","Yet to Start","","","प्रतीक्षारत","-","","1","बरकत अली (इण्डियन नेशनल कांग्रेस): 0 | विनोद पारख (भारतीय जनता पार्टी): 0 | प्रवीण कुमार (निर्दलीय): 0"
"12","822","627","Yet to Start","","","प्रतीक्षारत","-","","1","दिलीप कुमार घांची (भारतीय जनता पार्टी): 0 | सुभाष मेवाड़ा (इण्डियन नेशनल कांग्रेस): 0 | बहादुर सिंह (निर्दलीय): 0 | योगेश कुमार (निर्दलीय): 0 | रमेश कुमार अग्रवाल (निर्दलीय): 0"
"13","965","578","Yet to Start","","","प्रतीक्षारत","-","","1","बाबूलाल सुथार (भारतीय जनता पार्टी): 0 | हीरालाल (इण्डियन नेशनल कांग्रेस): 0 | मेहुल कुमार (निर्दलीय): 0 | रणजीत कुमार (निर्दलीय): 0"
"14","825","600","Yet to Start","","","प्रतीक्षारत","-","","1","पूनम सिंह परमार (भारतीय जनता पार्टी): 0 | प्रवीण सिंह भाटी (इण्डियन नेशनल कांग्रेस): 0 | दिपेश (निर्दलीय): 0 | हरिलाल विश्वकर्मा (निर्दलीय): 0"
"15","902","609","Yet to Start","","","प्रतीक्षारत","-","","1","ईश्वर लाल (इण्डियन नेशनल कांग्रेस): 0 | रंजु भाटी (भारतीय जनता पार्टी): 0 | किरण कुमार (निर्दलीय): 0 | रवि कुमार (निर्दलीय): 0"
"16","653","506","Yet to Start","","","प्रतीक्षारत","-","","1","जितेन्द्र कुमार (भारतीय जनता पार्टी): 0 | फिरोज (इण्डियन नेशनल कांग्रेस): 0 | दिलावर खान (निर्दलीय): 0"
"17","1036","710","Yet to Start","","","प्रतीक्षारत","-","","1","धीरज सांखला (भारतीय जनता पार्टी): 0 | ललित कुमार परिहार (इण्डियन नेशनल कांग्रेस): 0 | आरिफ खान (निर्दलीय): 0 | पुष्पकांत (निर्दलीय): 0"
"18","920","656","Yet to Start","","","प्रतीक्षारत","-","","1","भावना राजपुरोहित (भारतीय जनता पार्टी): 0 | सुनीता देवी (इण्डियन नेशनल कांग्रेस): 0 | शशि गुप्ता (निर्दलीय): 0 | सुजाता (निर्दलीय): 0"
